user_id,transaction_date,transaction_amount,transaction_type
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2024-08-18,192.13,gem_pack
23b8c1e9-3924-46de-beb1-3b9046685257,2024-11-09,156.97,pass_royale
47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-01-03,34.88,gem_pack
47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-01-03,45.11,evo_shards
47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-01-03,69.18,gem_pack
47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-01-03,35.69,gem_pack
47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-01-03,0.99,gem_pack
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2024-12-26,80.72,pass_royale
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2024-12-14,57.25,pass_royale
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2024-12-26,87.68,evo_shards
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2024-10-13,0.99,gem_pack
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2024-11-13,106.27,gem_pack
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2024-10-21,60.01,gem_pack
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2024-10-11,53.52,gem_pack
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2024-11-22,46.42,pass_royale
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2024-11-26,44.0,gem_pack
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2024-11-18,0.99,gem_pack
29a3b2e9-5d65-4441-9588-42dea2bc372f,2024-12-16,104.39,pass_royale
ab9099a4-35a2-40ae-9af3-05535ec42e08,2024-06-16,35.61,gem_pack
ab9099a4-35a2-40ae-9af3-05535ec42e08,2024-11-28,61.79,gem_pack
451b4cf3-6123-4df7-b656-af7229d4beef,2024-09-02,66.1,gem_pack
451b4cf3-6123-4df7-b656-af7229d4beef,2024-10-20,101.29,chest_offer
24933b83-7577-40a9-a491-f0b2ea1fca65,2024-01-17,134.67,pass_royale
beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-11-22,150.06,chest_offer
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-03-18,29.52,gem_pack
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-02-06,50.94,pass_royale
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-11-27,65.07,gem_pack
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-11-06,25.83,pass_royale
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-11-01,0.99,chest_offer
28f49481-a0a0-4dc4-a720-9bdf1c11f735,2024-12-02,179.46,pass_royale
1d53434b-b881-49b9-ae27-0da702f06b90,2024-12-27,103.43,pass_royale
c0398710-8976-4334-a281-7efdae849217,2024-12-30,40.06,chest_offer
c0398710-8976-4334-a281-7efdae849217,2024-11-13,52.58,chest_offer
c0398710-8976-4334-a281-7efdae849217,2024-12-13,45.4,pass_royale
c0398710-8976-4334-a281-7efdae849217,2024-11-24,0.99,pass_royale
b8db0672-f42d-47cc-80d4-af5974273ca3,2024-12-18,35.39,pass_royale
b8db0672-f42d-47cc-80d4-af5974273ca3,2024-11-12,43.52,evo_shards
b8db0672-f42d-47cc-80d4-af5974273ca3,2024-09-09,68.63,pass_royale
81f631d4-a392-41a7-9777-a4774c66e0a8,2024-12-13,53.18,gem_pack
81f631d4-a392-41a7-9777-a4774c66e0a8,2024-12-18,61.69,gem_pack
81f631d4-a392-41a7-9777-a4774c66e0a8,2024-12-29,52.14,gem_pack
81f631d4-a392-41a7-9777-a4774c66e0a8,2024-12-19,0.99,chest_offer
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,2024-11-03,126.01,gem_pack
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2024-06-15,70.54,pass_royale
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2024-06-20,110.13,chest_offer
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2024-10-25,96.5,gem_pack
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2024-05-13,0.99,pass_royale
14296c07-f26b-4776-913e-4de2e0c53cb8,2024-12-15,181.33,pass_royale
01d74256-3860-4ab6-96a4-02f23ae8cc93,2024-09-08,239.43,gem_pack
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,2024-12-16,137.96,pass_royale
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,2024-12-25,134.8,evo_shards
63f2ae24-fc3d-4348-808d-4127610461e3,2024-12-20,141.08,gem_pack
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,2024-09-22,34.46,gem_pack
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,2024-10-26,62.04,gem_pack
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,2024-10-16,30.3,gem_pack
b253d218-6c4a-47ea-8906-17f2747b6dba,2024-10-28,138.11,gem_pack
c88a618e-fed4-457d-bb02-6576f512c4c3,2024-06-26,187.0,pass_royale
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,2024-11-30,183.33,chest_offer
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,2024-06-08,92.12,gem_pack
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,2024-11-06,139.14,gem_pack
f10c718b-1eb0-438a-a75d-d5af3c365296,2024-10-01,163.11,pass_royale
14fcdd54-9e8f-4965-8a2c-827e98326856,2024-07-17,183.49,chest_offer
506e5a9a-b758-488d-ab73-295b344a54b8,2024-12-24,133.61,evo_shards
21813d25-6552-48a6-83ff-50113d1a85dd,2024-12-19,194.96,gem_pack
3e896c64-e117-4ac3-919c-4ea3e1805081,2024-12-17,28.53,chest_offer
3e896c64-e117-4ac3-919c-4ea3e1805081,2024-12-03,72.59,gem_pack
702cdd20-2862-48b8-88f4-ef125e9953d2,2024-11-06,43.66,evo_shards
702cdd20-2862-48b8-88f4-ef125e9953d2,2024-11-03,98.69,gem_pack
e3c43657-1d8c-4bac-83b4-09ef2260e70f,2024-06-30,25.23,pass_royale
e3c43657-1d8c-4bac-83b4-09ef2260e70f,2024-10-19,115.53,pass_royale
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2024-12-30,76.85,gem_pack
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2024-12-21,51.86,gem_pack
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2024-12-25,34.63,gem_pack
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2024-12-28,46.73,pass_royale
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,2024-12-30,0.99,evo_shards
b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,2024-12-17,127.93,evo_shards
eededb07-e623-4689-9d59-cd2a4eea04e7,2024-11-06,122.11,gem_pack
0a368ce7-dc57-4131-b8e1-daa7cbceabde,2024-11-24,60.03,gem_pack
0a368ce7-dc57-4131-b8e1-daa7cbceabde,2024-06-11,65.79,chest_offer
0a368ce7-dc57-4131-b8e1-daa7cbceabde,2024-05-26,65.26,pass_royale
0a368ce7-dc57-4131-b8e1-daa7cbceabde,2024-10-07,62.92,gem_pack
0a368ce7-dc57-4131-b8e1-daa7cbceabde,2024-10-08,0.99,gem_pack
ae9bec36-35c7-436c-9b99-62c6e61fecc0,2024-11-30,106.56,gem_pack
ae9bec36-35c7-436c-9b99-62c6e61fecc0,2024-10-31,89.59,pass_royale
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,2024-12-21,20.34,gem_pack
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,2024-11-29,73.82,chest_offer
bfddc3d9-9ee3-4c2a-b94d-62046808593f,2024-11-30,219.71,gem_pack
ccc56569-f9e8-4369-a999-b735dd56cc94,2024-07-05,79.25,chest_offer
ccc56569-f9e8-4369-a999-b735dd56cc94,2024-08-01,30.67,gem_pack
ccc56569-f9e8-4369-a999-b735dd56cc94,2024-07-18,83.2,pass_royale
ccc56569-f9e8-4369-a999-b735dd56cc94,2024-05-20,42.24,gem_pack
ccc56569-f9e8-4369-a999-b735dd56cc94,2024-07-22,0.99,pass_royale
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,2024-09-15,39.88,evo_shards
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,2024-09-30,100.37,chest_offer
39118497-3a43-42ba-9f0f-06cbcb9bc326,2024-11-18,194.24,gem_pack
11c58ef0-dd46-4c09-8752-87aa5408f9ac,2024-11-01,43.97,gem_pack
11c58ef0-dd46-4c09-8752-87aa5408f9ac,2024-11-10,68.55,gem_pack
11c58ef0-dd46-4c09-8752-87aa5408f9ac,2024-12-02,68.17,gem_pack
11c58ef0-dd46-4c09-8752-87aa5408f9ac,2024-12-11,92.74,gem_pack
11c58ef0-dd46-4c09-8752-87aa5408f9ac,2024-12-05,0.99,pass_royale
e08596db-1d87-4966-8710-d430f071d879,2024-10-08,140.19,pass_royale
6fb78271-504d-481f-8953-5b63ba81edd9,2024-12-22,186.68,gem_pack
6fa17735-b572-43d0-8b5c-ea6a41357e8c,2024-12-29,221.23,pass_royale
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2024-07-17,49.31,pass_royale
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2024-12-18,85.98,pass_royale
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2024-08-04,82.33,gem_pack
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2024-10-30,68.25,gem_pack
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2024-07-31,0.99,gem_pack
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,2024-07-02,71.22,pass_royale
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,2024-05-20,72.29,gem_pack
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,2024-08-01,10.66,gem_pack
82dc4c8e-36b5-429a-acf5-e81e71316269,2024-09-29,80.13,gem_pack
82dc4c8e-36b5-429a-acf5-e81e71316269,2024-08-23,78.8,gem_pack
f5b78cc7-e6b3-4944-8b32-3e357922bac2,2024-12-16,44.11,gem_pack
f5b78cc7-e6b3-4944-8b32-3e357922bac2,2024-12-25,83.5,gem_pack
e2add909-c521-4f2d-9c45-d539c03f3538,2024-11-06,135.62,gem_pack
3805f907-6cd6-4193-8746-8f591b494e15,2024-11-29,60.43,evo_shards
3805f907-6cd6-4193-8746-8f591b494e15,2024-12-02,52.39,gem_pack
3805f907-6cd6-4193-8746-8f591b494e15,2024-09-03,40.03,pass_royale
3805f907-6cd6-4193-8746-8f591b494e15,2024-11-23,41.6,gem_pack
3805f907-6cd6-4193-8746-8f591b494e15,2024-12-14,0.99,gem_pack
76f2dbfe-cd29-436f-a222-82e174daaebf,2024-10-21,54.99,pass_royale
76f2dbfe-cd29-436f-a222-82e174daaebf,2024-07-31,63.15,gem_pack
76f2dbfe-cd29-436f-a222-82e174daaebf,2024-11-11,69.75,gem_pack
76f2dbfe-cd29-436f-a222-82e174daaebf,2024-10-08,51.66,evo_shards
76f2dbfe-cd29-436f-a222-82e174daaebf,2024-07-01,0.99,pass_royale
